"year","month","release.id","url"
2014,1,397197,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=397197"
2014,1,397196,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=397196"
2014,1,397195,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=397195"
2014,1,396365,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396365"
2014,1,396377,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396377"
2014,1,396364,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396364"
2014,1,395342,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395342"
2014,1,396360,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396360"
2014,2,396442,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396442"
2014,2,396441,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396441"
2014,2,396440,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396440"
2014,2,396439,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396439"
2014,2,396438,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396438"
2014,2,396435,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396435"
2014,2,396448,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396448"
2014,2,396447,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396447"
2014,2,396443,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396443"
2014,2,395353,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395353"
2014,3,396535,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396535"
2014,3,396537,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396537"
2014,3,395366,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395366"
2014,3,396538,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396538"
2014,3,396533,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396533"
2014,3,396540,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396540"
2014,3,396539,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396539"
2014,3,396536,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396536"
2014,3,397221,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=397221"
2014,3,396529,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396529"
2014,4,396592,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396592"
2014,4,396593,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396593"
2014,4,395378,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395378"
2014,4,396590,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396590"
2014,4,396591,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396591"
2014,4,396595,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396595"
2014,4,396589,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396589"
2014,4,395377,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395377"
2014,4,395376,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395376"
2014,4,396588,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396588"
